"entidad","municipio","clave_1","clave_2","razon_social","ubicacion","colonia","cp","telefono","correo","inicio_operaciones","magna","premium","diesel","latitude","longitude"
"DISTRITO FEDERAL","ALVARO OBREGON","E00013",108046,"SERVICIO J. GUTIERREZ, S.A. DE C.V.","Av. Revolucion No. 1649","San Angel","01000","55502345","est013jg@hotmail.com","2-Jul-96","S","S","S",19.3477413,-99.1905191
"DISTRITO FEDERAL","ALVARO OBREGON","E00029",108054,"SERVICIO SAN PEDRO, S.A. DE C.V.","BOULEVARD ADOLFO LOPEZ MATEOS NO. 282","San Pedro de Los Pinos","01280","55153860","serviciosanpedro@hotmail.com","17-Sep-92","S","S","S",20.6760746,-101.3251501
"DISTRITO FEDERAL","ALVARO OBREGON","E00119",108079,"GASOLINERIA MURCIA, S.A. DE C.V.","INSURGENTES SUR NO.1937","GUADALUPE INN","01020","55112186","es0119@corpogas.com.mx,gerardo@corpogas.com.mx,fel","28-Jul-99","S","S","N",19.3522674,-99.1860181
"DISTRITO FEDERAL","ALVARO OBREGON","E00120",108014,"CONSORCIO GASOLINERO PLUS,S,A, DE C.V.","INSURGENTES SUR NO. 2075 Y LA PAZ","San Angel","01000","52623827","controlesvolumetricos@hidrosina.com.mx","20-May-98","S","S","N",22.3034649,-97.8671873
"DISTRITO FEDERAL","ALVARO OBREGON","E00333",108021,"CONSORCIO GASOLINERO PLUS, SA DE CV","CAMINO REAL A TOLUCA NO. 521","Cristo Rey","01150","52623827","controlesvolumetricos@hidrosina.com.mx","25-Nov-97","S","S","S",19.389992,-99.2049748
"DISTRITO FEDERAL","ALVARO OBREGON","E02517",108006,"SERVICIO ALFONSO XIII, S.A. DE C.V.","AV. SANTA LUCIA N0. 810","OLIVAR DEL CONDE","01400","56805777","sandrabetancourt@grupogas.com.mx","27-Aug-97","S","S","N",19.3727135,-99.2082274
"DISTRITO FEDERAL","ALVARO OBREGON","E02797",108062,"SERVICIO JARDINES DEL PEDREGAL, S.A. DE C.V.","AV. DE LAS FUENTES NO. 490","Jardines del Pedregal","09110","56062944","gilberto.guzman@grupojardines.com.mx","6-Dec-93","S","S","N",19.3158464,-99.2123958
"DISTRITO FEDERAL","ALVARO OBREGON","E02927",108068,"AUTO SERVICIO REVOLUCION, S.A.","SAGREDO NO. 265","Guadalupe Inn","01020","56655753","aaron@grupoescobar.com","21-Dec-94","S","S","N",19.3613562,-99.1883075
"DISTRITO FEDERAL","ALVARO OBREGON","E03175",108067,"SERVICIO IZQUIERDO, S.A. DE C.V.","DOULEVARD ADOLFO LOPEZ MATEOS NO. 2491","San Angel Inn","01060","56523510","rogelioizquierdo@hotmail.com","16-Mar-93","S","S","N",19.3350437,-99.2077203
"DISTRITO FEDERAL","ALVARO OBREGON","E03282",108039,"ESTACION DE SERVICIO CORCELES, S.A. DE C.V.","CALZADA DE LOS CORCELES NO. 300","FRACCIONAMIENTO COLINAS DEL SUR","01430","12850234","estacioncorceles@estacioncorceles.com","3-Jun-97","S","S","S",19.3661846,-99.231975
"DISTRITO FEDERAL","ALVARO OBREGON","E03758",108000,"ESTACION DE SERVICIO LAS AGUILAS, SA DE CV","CALZADA DE LAS AGUILAS NO. 912","AMPLIACION LAS AGUILAS","01759","55112186","es3758@corpogas.com.mx,gerardo@corpogas.com.mx,fel","20-Jul-92","S","S","N",19.3561276,-99.215212
"DISTRITO FEDERAL","ALVARO OBREGON","E04731",108071,"SERVICIOS LA CAºADA, SA DE CV","PERIFERICO SUR NO. 3352","Jardines del Pedregal","01900","56523510","rogelioizquierdo@hotmail.com","23-Apr-97","S","S","N",19.3063311,-99.207653
"DISTRITO FEDERAL","ALVARO OBREGON","E04807",108018,"ESTACION DE CARGA PERIFERICO SUR LM, S.A. DE C.V.","AV. CENTRAL NO. 386 F","San Pedro de Los Pinos","01280","5511 21 86","gerardo@corpogas.com.mx,es4807@corpogas.com.mx","1-Jul-97","S","S","N",22.2796785,-97.8907854
"DISTRITO FEDERAL","ALVARO OBREGON","E05565",109077,"ESTACION DE CARGA PERIFERICO SUR LM, S.A. DE C.V.","PROLONGACION 5 DE MAYO NO. 3160","EXHACIENDA DE TARANGO","01620","5511 21 86","gerardo@corpogas.com.mx,es5565@corpogas.com.mx","29-Jan-02","S","S","S",19.3643064,-99.2189711
"DISTRITO FEDERAL","ALVARO OBREGON","E05580",109112,"SERVICIO POINTER, SA DE CV","5 DE MAYO NO. 407","MERCED GOMEZ","01600","55 11 21 86","es5580@corpogas.com.mx,gerardo@corpogas.com.mx,fel","31-Jan-00","S","S","N",19.365256,-99.2020961
"DISTRITO FEDERAL","ALVARO OBREGON","E05817",109592,"SERVICIO ECLIPSE S.A.DE C.V.","AV. VALENTIN GOMEZ FARIAS NO. 47","SANTA FE","01210","21671495","es5817@corpogas.com.mx,gerardo@corpogas.com.mx,fel","21-Dec-00","S","S","N",22.1442394,-100.9806386
"DISTRITO FEDERAL","ALVARO OBREGON","E05943",109865,"SERVICIO MONTE VERDE, SA DE CV","CERRADA DE CANOA NO. 18","LA OTRA BANDA","01090","5616 7055","es5943@corpogas.com.mx, gerardo@corpogas.com.mx, f","24-Apr-01","S","S","N",19.3378388,-99.1933196
"DISTRITO FEDERAL","ALVARO OBREGON","E05986",109947,"BURBIL, SA DE CV","RIO DE LA MAGDALENA NO. 10","LA OTRA BANDA","01090","55-507617","es5986@corpogas.com.mx, gerardo@corpogas.com.mx, f","7-May-01","S","S","N",19.338096,-99.192943
"DISTRITO FEDERAL","ALVARO OBREGON","E07268",111388,"OPERADORA AGUESU, S.A. DE C.V.","AV. PROLONGACION PASEO DE LA REFORMA NO. 271","LOMAS DE SANTA FE","01219","21676580","aguesu@prodigy.net.mx, operadora_aguesu@hotmail.co","22-Dec-03","S","S","N",19.3594791,-99.2707271
"DISTRITO FEDERAL","ALVARO OBREGON","E08414",112534,"PAVIRO S.A. DE C.V.","ROMULO O'FARRIL NO.298","Olivar de Los Padres","01780","5652-3510, 5652-3572","rogelioizquierdo@hotmail.com","13-Jun-07","S","S","S",19.337975,-99.2118854
"DISTRITO FEDERAL","ALVARO OBREGON","E09096",113216,"OPERADORA LILAS, S.A. DE C.V.","CARRETERA MEXICO-TOLUCA NO. 1355","Lomas de Bezares","11910","53395323","aramirez@debisa.com.mx","5-Aug-08","S","S","N",19.3824148,-99.2527571
"DISTRITO FEDERAL","ALVARO OBREGON","J01023",1400186,"AUTOTRANS. DE PASJ.MEX-TOLUCA-SN.LUIS MEXTEPEC-QRO.F-ROJA, S.A DE C.V.","CAMINO REAL A TOLUCA NO.527","Cristo Rey","01150","52779971","maavitu@grupoflecharoja.com.mx","29-May-97","N","N","S",19.3897924,-99.204341
